syllables:	1973
'AM	འམ
'ANG	འང
'BA'	འབའ
'BAB	འབབ
'BAD	འབད
'BAR	འབར
'BEB	འབེབ
'BEBS	འབེབས
'BIGS	འབིགས
'BOD	འབོད
'BOGS	འབོགས
'BOR	འབོར
'BRAL	འབྲལ
'BRANG	འབྲང
'BRANGS	འབྲངས
'BRAS	འབྲས
'BREL	འབྲེལ
'BRI	འབྲི
'BRING	འབྲིང
'BROG	འབྲོག
'BROM	འབྲོམ
'BRU	འབྲུ
'BRU'I	འབྲུའི
'BRUG	འབྲུག
'BRUL	འབྲུལ
'BUD	འབུད
'BUL	འབུལ
'BUM	འབུམ
'BUR	འབུར
'BUS	འབུས
'BYAMS	འབྱམས
'BYED	འབྱེད
'BYES	འབྱེས
'BYIN	འབྱིན
'BYOR	འབྱོར
'BYUNG	འབྱུང
'CHA'	འཆའ
'CHAD	འཆད
'CHAG	འཆག
'CHAL	འཆལ
'CHANG	འཆང
'CHAR	འཆར
'CHI	འཆི
'CHING	འཆིང
'CHOL	འཆོལ
'CHOS	འཆོས
'DA'	འདའ
'DAB	འདབ
'DAG	འདག
'DAM	འདམ
'DAS	འདས
'DEBS	འདེབས
'DI	འདི
'DI'ANG	འདིའང
'DI'I	འདིའི
'DI'O	འདིའོ
'DING	འདིང
'DINGS	འདིངས
'DIR	འདིར
'DIS	འདིས
'DOD	འདོད
'DOGS	འདོགས
'DOM	འདོམ
'DOMS	འདོམས
'DON	འདོན
'DOR	འདོར
'DRA	འདྲ
'DRA'ANG	འདྲའང
'DRA'I	འདྲའི
'DRA'O	འདྲའོ
'DRAR	འདྲར
'DRAS	འདྲས
'DREN	འདྲེན
'DRES	འདྲེས
'DRI	འདྲི
'DRIS	འདྲིས
'DU	འདུ
'DUD	འདུད
'DUG	འདུག
'DUL	འདུལ
'DUN	འདུན
'DUR	འདུར
'DUS	འདུས
'DZAD	འཛད
'DZAG	འཛག
'DZAM	འཛམ
'DZEGS	འཛེགས
'DZEMS	འཛེམས
'DZIN	འཛིན
'DZINGS	འཛིངས
'DZIR	འཛིར
'DZUD	འཛུད
'GA'	འགའ
'GAG	འགག
'GAGS	འགགས
'GAL	འགལ
'GAR	འགར
'GEBS	འགེབས
'GEGS	འགེགས
'GO	འགོ
'GOD	འགོད
'GOG	འགོག
'GOM	འགོམ
'GONG	འགོང
'GRAM	འགྲམ
'GRAN	འགྲན
